171,LEY Orgánica del Instituto Nacional de Antropología e Historia
172_031116,LEY Orgánica del Instituto Politécnico Nacional
173,LEY Orgánica del Poder Judicial de la Federación
LOTFJA,LEY Orgánica del Seminario de Cultura Mexicana
176,LEY Orgánica del Tribunal Federal de Justicia Administrativa
LDVUMA_301216,LEY para Conservar la Neutralidad del País
247_011216,LEY para Determinar el Valor de la Unidad de Medida y Actualización
177,"LEY para el Desarrollo de la Competitividad de la Micro, Pequeña y Mediana Empresa"
LUPDECR,"LEY para el Dialogo, la Conciliación y la Paz Digna en Chiapas"
LIISPCEN,LEY para el uso y protección de la denominación y del emblema de la Cruz Roja
268,LEY para Impulsar el Incremento Sostenido de la Productividad y la Competitividad de la Economía Nacional
LCACSEFAM,"LEY para la Comprobación, Ajuste y Cómputo de Servicios de la Armada de México"
182,"LEY para la Comprobación, Ajuste y Cómputo de Servicios en el Ejército y Fuerza Aérea Mexicanos"
183,LEY para la Coordinación de la Educación Superior
LPPDDHP,LEY para la Depuración y Liquidación de Cuentas de la Hacienda Pública Federal
LTOSF,LEY para la Protección de Personas Defensoras de Derechos Humanos y Periodistas
LRASCAP_280414,LEY para la Transparencia y Ordenamiento de los Servicios Financieros
LRAF,LEY para Regular las Actividades de las Sociedades Cooperativas de Ahorro y Préstamo
237,LEY para Regular las Agrupaciones Financieras
187_291214,LEY para Regular las Sociedades de Información Crediticia
LFFASETMM,LEY que Aprueba la Adhesión de México al Convenio Constitutivo del Banco de Desarrollo del Caribe y su Ejecución
190_280414,LEY que Crea el Fideicomiso que Administrará el Fondo de Apoyo Social para Ex Trabajadores Migratorios Mexicanos
192,LEY que Crea el Fideicomiso que Administrará el Fondo para el Fortalecimiento de Sociedades y Cooperativas de Ahorro y Préstamo y de Apoyo a sus Ahorradores
193_171215,"LEY que Crea el Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura"
LANEM,LEY que crea el Instituto Nacional de Bellas Artes y Literatura
LAEM,LEY que Crea la Agencia de Noticias del Estado Mexicano
195,LEY que crea la Agencia Espacial Mexicana
196,LEY que crea la Universidad Autónoma Chapingo
197,LEY que Crea la Universidad del Ejército y Fuerza Aérea
199_291214,"LEY que Declara Reservas Mineras Nacionales los Yacimientos de Uranio, Torio y las demás Substancias de las cuales se Obtengan Isótopos Hendibles que puedan Producir Energía Nuclear"
200_291214,"LEY que Establece Bases para la Ejecución en México, por el Poder Ejecutivo Federal, del Convenio Constitutivo de la Asociación Internacional de Fomento"
202,"LEY que Establece Bases para la Ejecución en México, por el Poder Ejecutivo Federal, del Convenio Constitutivo del Banco Interamericano de Desarrollo"
LRArt76_fracVI,LEY Reglamentaria de la Fracción V del Artículo 76 de la Constitución General de la República
203,LEY Reglamentaria de la fracción VI del artículo 76 de la Constitución Política de los Estados Unidos Mexicanos
204,"LEY Reglamentaria de la Fracción XIII Bis del Apartado B, del Artículo 123 de la Constitución Política de los Estados Unidos Mexicanos"
205_270115,"LEY Reglamentaria de la Fracción XVIII del Artículo 73 Constitucional, en lo que se Refiere a la Facultad del Congreso para Dictar Reglas para Determinar el Valor Relativo de la Moneda Extranjera"
207,LEY Reglamentaria de las Fracciones I y II del Artículo 105 de la Constitución Política de los Estados Unidos Mexicanos
208,LEY Reglamentaria del Artículo 27 Constitucional en Materia Nuclear
LRArt6_MDR_041115,"LEY Reglamentaria del Artículo 5o. Constitucional, Relativo al Ejercicio de las Profesiones en el Distrito Federal"
209_080616,"LEY Reglamentaria del artículo 6o., párrafo primero, de la Constitución Política de los Estados Unidos Mexicanos, en materia del Derecho de Réplica"
23,LEY Reglamentaria del Servicio Ferroviario
40_041115,"LEY sobre Cámaras Agrícolas, que en lo sucesivo se denominarán Asociaciones Agrícolas"
211,LEY sobre Delitos de Imprenta
213_011216,LEY Sobre el Contrato de Seguro
215,"LEY sobre el Escudo, la Bandera y el Himno Nacionales"
271,LEY sobre Elaboración y Venta de Café Tostado
216,LEY Sobre la Aprobación de Tratados Internacionales en Materia Económica
LRPCAP_301014,LEY Sobre la Celebración de Tratados
218,"Ley sobre Refugiados, Protección Complementaria y Asilo Político"
PEF_2017,ORDENANZA General de la Armada
Reg_Diputados_281216,PRESUPUESTO de Egresos de la Federación para el Ejercicio Fiscal 2017
Reg_Senado_221214,REGLAMENTO de la Cámara de Diputados
219,REGLAMENTO  del Senado de la República
Dec_HEEUM_130310,REGLAMENTO para el Gobierno Interior del Congreso General de los Estados Unidos Mexicanos
